volEnergyDen	volPowerDen	deviceType	citationShort	citationLong
0.00136	20	electrochemical capacitor	El-Kady et al (2012)	El-Kady, M. F., Strong, V., Dubin, S., & Kaner, R. B. (2012). Laser scribing of high-performance and flexible graphene-based electrochemical capacitors. Science, 335(6074), 1326-1330.
0.0599	8.6	electrochemical capacitor	Yang et al (2013)	Yang, X., Cheng, C., Wang, Y., Qiu, L., & Li, D. (2013).  Liquid-mediated dense integration of graphene materials for compact capacitive energy storage. Science, 341(6145), 534-537.
0.0061	0.85	asymetric capacitor	Lu et al (2013)	Lu, X., Yu, M., Zhai, T., Wang, G., Xie, S., Liu, T., Liang, C., Tong, Y., & Li, Y. (2013). High Energy Density Asymmetric Quasi-Solid-State Supercapacitor Based on Porous Vanadium Nitride Nanowire Anode. Nano letters, 13(6), 2628-2633.
0.0025	495	supercapacitor	Wu et al (2013)	Wu, Z. S., Parvez, K., Feng, X., & Müllen, K. (2013). Graphene-based in-plane micro-supercapacitors with high power and energy densities. Nature communications, 4.
0.636	5.43	lithium ion battery	Amprius Corp (2014)	Amprius Corp (2014). Website: http://energy.gov/sites/prod/files/2014/07/f17/es126_stefan_2014_p.pdf. Accessed Oct 20, 2014.
0.0052	27	supercapacitor	Pech et al (2010)	Pech, D., Brunet, M., Durou, H., Huang, P., Mochalin, V., Gogotsi, Y., Taberna, P.-L., & Simon, P. (2010). Ultrahigh-power micrometre-sized supercapacitors based on onion-like carbon. Nature nanotechnology, 5(9), 651-654.
0.0068	4.1	supercapacitor	Pech et al (2010)	Pech, D., Brunet, M., Durou, H., Huang, P., Mochalin, V., Gogotsi, Y., Taberna, P.-L., & Simon, P. (2010). Ultrahigh-power micrometre-sized supercapacitors based on onion-like carbon. Nature nanotechnology, 5(9), 651-654.
